State Name,County Name,NAICS Description,Establishments
Florida,Miami-Dade,Religious,"1,733"
Florida,Monroe,Amusement,92
Florida,Monroe,Religious,151
Florida,Nassau,Amusement,31
Florida,Nassau,Religious,94
Florida,Okaloosa,Amusement,82
Florida,Okaloosa,Religious,200
Florida,Okeechobee,Amusement,13
Florida,Okeechobee,Religious,35
Florida,Orange,Amusement,375
Florida,Orange,Religious,991
Florida,Osceola,Amusement,63
Florida,Osceola,Religious,172
Florida,Palm Beach,Amusement,526
Florida,Palm Beach,Religious,"1,275"
Florida,Pasco,Amusement,104
Florida,Pasco,Religious,282
Florida,Pinellas,Amusement,319
Florida,Pinellas,Religious,739
Florida,Polk,Amusement,98
Florida,Polk,Religious,558
Florida,Putnam,Amusement,11
Florida,Putnam,Religious,77
Florida,Santa Rosa,Amusement,34
Florida,Santa Rosa,Religious,117
Florida,Sarasota,Amusement,127
Florida,Sarasota,Religious,466
Florida,Seminole,Amusement,152
Florida,Seminole,Religious,307
Florida,St. Johns,Amusement,90
Florida,St. Johns,Religious,173
Florida,St. Lucie,Amusement,68
Florida,St. Lucie,Religious,205
Florida,Sumter,Amusement,15
Florida,Sumter,Religious,64
Florida,Suwannee,Amusement,4
Florida,Suwannee,Religious,40
Florida,Taylor,Amusement,3
Florida,Taylor,Religious,31
Florida,Volusia,Amusement,149
Florida,Volusia,Religious,519
Florida,Wakulla,Amusement,6
Florida,Wakulla,Religious,27
Florida,Walton,Amusement,27
Florida,Walton,Religious,87
Florida,Washington,Amusement,5
Florida,Washington,Religious,32
Georgia,Baldwin,Amusement,11
Georgia,Baldwin,Religious,37
Georgia,Banks,Amusement,4
Georgia,Banks,Religious,16
Georgia,Barrow,Amusement,11
Georgia,Barrow,Religious,51
Georgia,Bartow,Amusement,23
Georgia,Bartow,Religious,81
Georgia,Ben Hill,Amusement,3
Georgia,Ben Hill,Religious,17
Georgia,Berrien,Amusement,3
Georgia,Berrien,Religious,13
Georgia,Bibb,Amusement,26
